id,empresa,pais,sector,score_fit,score_urgencia,score_momentum,score_accesibilidad,score_probabilidad,score_final,prioridad,contacto_ideal,estrategia_contacto,pitch_corto,tiempo_venta_estimado,rating,review_count,presupuesto_potencial,email,phone
5,"Harry Sasson","Colombia","Gastronomía - Fine Dining",97.5,85,90,15,5,76.3,2,"Gerente General","Email + WhatsApp + Llamada","Automatizar Gestión de eventos compleja. n8n/Make - Ahorra 4-6h/semana.","2-3 semanas",4.6,4643,"$2500-4500/mes","reservas@harrysasson.com","+57 310 2445320"
9,"T BONE","Colombia","Gastronomía - Restaurante Premium",97.5,85,90,15,5,76.3,2,"Gerente General","Email + WhatsApp + Llamada","Automatizar Gestión de wine pairing manual. n8n/Make - Ahorra 4-6h/semana.","2-3 semanas",4.8,4438,"$2000-3500/mes","reservas@tbonebogota.com","+57 601 4661464"
23,"Gaira Café Cumbia House","Colombia","Gastronomía - Bar con Música en Vivo",90,85,100,15,5,74.8,3,"Gerente General","Email + WhatsApp + Llamada","Automatizar Gestión de eventos manual. n8n/Make - Ahorra 4-6h/semana.","2-3 semanas",4.5,10503,"$1500-2500/mes","info@cumbiahouse.com","+57 601 5088383"
14,"Astoria Rooftop","Colombia","Gastronomía - Restaurante Rooftop",90,85,90,15,5,73.3,3,"Gerente Operacional","Email + WhatsApp + Llamada","Automatizar Gestión de eventos compleja. n8n/Make - Ahorra 4-6h/semana.","2-3 semanas",4.5,4555,"$1800-3000/mes","info@astoriarooftop.com","+57 601 3570505"
11,"Elcielo Restaurant Bogotá","Colombia","Gastronomía - Fine Dining",97.5,85,60,15,5,71.8,3,"Director Regional","Email + WhatsApp + Llamada","Automatizar Gestión de eventos en múltiples sed. n8n/Make - Ahorra 4-6h/semana.","2-3 semanas",4.5,2051,"$2500-4500/mes","bogota@elcielo.com.co","+57 601 5088497"
12,"Seratta Gourmand","Colombia","Gastronomía - Fine Dining",92.5,65,100,15,5,70.8,3,"Gerente General","Email + WhatsApp + Llamada","Automatizar Gestión de clientes VIP manual. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.6,6221,"$1800-3000/mes","reservas@restauranteseratta.com","+57 601 7443466"
7,"Osaka Bogotá","Colombia","Gastronomía - Restaurante Asiático",90,65,100,15,5,69.8,3,"Gerente Operacional","Email + WhatsApp + Llamada","Automatizar Gestión de múltiples ordenes. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.7,5041,"$1500-2500/mes","reservas@osakanikkei.com","+57 322 6818282"
25,"MASA","Colombia","Gastronomía - Restaurante",82.5,65,100,15,5,66.8,3,"Gerente/Owner","Email + WhatsApp + Llamada","Automatizar Procesos manuales. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.4,5239,"$1000-1800/mes","info@somosmasa.com","+57 315 5892097"
2,"La PUERTA de la CATEDRAL","Colombia","Gastronomía - Restaurante",85,65,90,15,5,66.3,3,"Gerente General","Email + WhatsApp + Llamada","Automatizar Gestión manual de reservas. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.5,4154,"$1000-1800/mes","reservas@lapuertadelacatedral.com","+57 319 4109601"
19,"Piazza by Storia D'Amore","Colombia","Gastronomía - Restaurante Italiano",90,65,75,15,5,66,3,"Gerente General","Email + WhatsApp + Llamada","Automatizar Gestión de múltiples ubicaciones. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.7,3616,"$1500-2500/mes","reservas@piazza.com","+57 316 0104288"
16,"Cantina La 15 Bogotá","Colombia","Gastronomía - Restaurante Mexicano",82.5,65,90,15,5,65.3,3,"Gerente/Owner","Email + WhatsApp + Llamada","Automatizar Sin sistema de reservas online. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.6,4475,"$1000-1800/mes","info@cantinala15.com","+57 300 9133447"
13,"Santa Fe Restaurante Bogotá","Colombia","Gastronomía - Restaurante",85,65,75,15,5,64,4,"Gerente/Owner","Email + WhatsApp + Llamada","Automatizar Procesos manuales. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.8,3015,"$1000-1800/mes","info@santaferestaurante.co","+57 318 3705338"
1,"La Puerta Falsa Restaurant","Colombia","Gastronomía - Restaurante",75,65,100,15,5,63.8,4,"Gerente/Owner","Email + WhatsApp + Llamada","Automatizar Procesos manuales de reservas. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.3,5608,"$800-1500/mes","info@lapuertafalsa.com","+57 12865091"
8,"Restaurante Río - Chapinero","Colombia","Gastronomía - Restaurante",90,65,60,15,5,63.8,4,"Gerente General","Email + WhatsApp + Llamada","Automatizar Sin CRM para clientes VIP. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.8,2398,"$1500-2500/mes","reservas@restauranterio.co","+57 310 3904571"
22,"Madre","Colombia","Gastronomía - Restaurante",82.5,65,75,15,5,63,4,"Gerente/Owner","Email + WhatsApp + Llamada","Automatizar Procesos manuales. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.6,3512,"$1000-1800/mes","info@madre.com","+57 322 7917003"
17,"Storia D'Amore","Colombia","Gastronomía - Restaurante Italiano",85,65,60,15,5,61.8,4,"Gerente General","Email + WhatsApp + Llamada","Automatizar Sin integración delivery apps. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.7,2747,"$1200-2000/mes","reservas@restaurantestoriadamore.com","+57 300 9134441"
21,"Cuatro Cuervos Bogota","Colombia","Gastronomía - Restaurante",85,65,60,15,5,61.8,4,"Gerente/Owner","Email + WhatsApp + Llamada","Automatizar Sin sistema de reservas online. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.7,2472,"$1000-1800/mes","info@cuatrocuervos.com.co","+57 317 2220407"
24,"Bombay Rooftop","Colombia","Gastronomía - Restaurante Índio",85,65,60,15,5,61.8,4,"Gerente General","Email + WhatsApp + Llamada","Automatizar Gestión de eventos compleja. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.6,2871,"$1200-2000/mes","reservas@bombayrooftop.com","+57 601 3570506"
3,"La Cabrera Bogotá - Parrilla Argentina","Colombia","Gastronomía - Restaurante",82.5,85,30,15,5,61.3,4,"Gerente Regional","Email + WhatsApp + Llamada","Automatizar Múltiples ubicaciones sin sincroniz. n8n/Make - Ahorra 4-6h/semana.","2-3 semanas",4.7,1111,"$2000-3500/mes","bogota@la-cabrera.com","+57 314 4356985"
18,"Restaurante Mambo Latín Nikkei","Colombia","Gastronomía - Restaurante Nikkei",82.5,65,60,15,5,60.8,4,"Owner","Email + WhatsApp + Llamada","Automatizar Procesos manuales. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.7,2805,"$1000-1800/mes","info@mambolatin.com","+57 302 3570909"
15,"La Brasserie","Colombia","Gastronomía - Restaurante Francés",75,65,60,15,5,57.8,4,"Owner","Email + WhatsApp + Llamada","Automatizar Procesos manuales. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.6,2867,"$900-1500/mes","reservas@labrasserierestaurante.com","+57 313 8894213"
20,"Tierra Chapinero","Colombia","Gastronomía - Restaurante",72.5,65,60,15,5,56.8,4,"Owner","Email + WhatsApp + Llamada","Automatizar Procesos manuales. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.6,2307,"$1000-1800/mes","info@tierra.com","+57 322 3622726"
4,"Qun - Restaurante Peruano","Colombia","Gastronomía - Restaurante",72.5,65,50,15,5,55.3,4,"Owner","Email + WhatsApp + Llamada","Automatizar Marketing limitado. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.7,1831,"$1200-2000/mes","reservas@restaurantequn.com","+57 601 3570505"
10,"Restaurante Nueve","Colombia","Gastronomía - Restaurante",72.5,65,30,15,5,52.3,4,"Owner","Email + WhatsApp + Llamada","Automatizar Procesos administrativos manuales. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.8,686,"$1000-1800/mes","info@nueve.in","+57 601 5691348"
6,"Pajares Salinas","Colombia","Gastronomía - Restaurante Español",65,65,50,10,5,51.5,4,"Gerente/Owner","Email + WhatsApp + Llamada","Automatizar Sin presencia online fuerte. n8n/Make - Ahorra 4-6h/semana.","3-4 semanas",4.7,1857,"$900-1500/mes","info@pajares-salinas.com","N/A"
